symbol,name,fetch_timestamp,price,open,high,low,prev_close,price_change,price_change_pct,volume,quote_volume,trades_count,weighted_avg,price_range,volatility_pct,trade_intensity,vwap_deviation,volatility_label,market_signal
XRPUSDT,XRP,2026-03-15T17:35:05.185565,1.4192,1.3902,1.4211,1.3871,1.3903,0.029,2.086,54221367.4,76184651.31,292325,1.405067,0.034,2.4457,260.6163,1.0059,Medium,Strong Buy
DOGEUSDT,Dogecoin,2026-03-15T17:35:05.185565,0.09644,0.09494,0.09746,0.09436,0.09494,0.0015,1.58,601217008.0,57591273.76,395809,0.095791,0.0031,3.2652,145.5027,0.6775,High,Buy
ADAUSDT,Cardano,2026-03-15T17:35:05.185565,0.2659,0.2603,0.2673,0.2585,0.2603,0.0056,2.151,77511582.6,20353195.79,82496,0.262583,0.0088,3.3807,246.7174,1.2632,High,Strong Buy
AVAXUSDT,Avalanche,2026-03-15T17:35:05.185565,9.87,9.56,9.88,9.54,9.55,0.31,3.243,949730.8,9209782.48,32571,9.697256,0.34,3.5565,282.7602,1.7814,High,Strong Buy
SHIBUSDT,Shiba Inu,2026-03-15T17:35:05.185565,6e-06,6e-06,6e-06,6e-06,6e-06,-0.0,-0.34,460980560584.0,2705700.48,72821,6e-06,0.0,,37.1555,0.0,Unknown,Sell
DOTUSDT,Polkadot,2026-03-15T17:35:05.185565,1.438,1.441,1.442,1.392,1.441,-0.003,-0.208,5689410.84,8073792.98,34810,1.419091,0.05,3.4698,231.9389,1.3325,High,Sell
BTCUSDT,Bitcoin,2026-03-15T17:40:06.055718,71709.84,70659.76,71940.49,70500.0,70659.77,1050.08,1.486,11103.4631,791238147.96,1702334,71260.483532,1440.49,2.0386,464.7961,0.6306,Medium,Buy
ETHUSDT,Ethereum,2026-03-15T17:40:06.055718,2115.55,2071.39,2123.44,2069.19,2071.39,44.16,2.132,125978.3881,264005446.96,1426514,2095.640776,54.25,2.619,185.0704,0.95,Medium,Strong Buy
BNBUSDT,Binance Coin,2026-03-15T17:40:06.055718,660.6,652.72,666.55,651.85,652.71,7.88,1.207,57589.563,37906054.19,481994,658.210485,14.7,2.2521,78.6442,0.363,Medium,Buy
SOLUSDT,Solana,2026-03-15T17:40:06.055718,88.41,86.87,88.88,86.62,86.87,1.54,1.773,1325384.728,116395666.09,449333,87.820286,2.26,2.6016,259.041,0.6715,Medium,Buy
XRPUSDT,XRP,2026-03-15T17:40:06.055718,1.4194,1.3887,1.4229,1.3871,1.3888,0.0307,2.211,54773587.9,76975266.4,294095,1.405335,0.0358,2.578,261.7361,1.0008,Medium,Strong Buy
DOGEUSDT,Dogecoin,2026-03-15T17:40:06.055718,0.09631,0.09484,0.09746,0.09436,0.09483,0.00147,1.55,599969709.0,57473341.95,395688,0.095794,0.0031,3.2687,145.2491,0.5387,High,Buy
ADAUSDT,Cardano,2026-03-15T17:40:06.055718,0.2659,0.2602,0.2673,0.2585,0.2602,0.0057,2.191,77238389.2,20283379.58,82431,0.262607,0.0088,3.382,246.0649,1.254,High,Strong Buy
AVAXUSDT,Avalanche,2026-03-15T17:40:06.055718,9.87,9.56,9.88,9.54,9.55,0.31,3.243,945040.58,9165890.34,32595,9.698938,0.34,3.5565,281.2054,1.7637,High,Strong Buy
SHIBUSDT,Shiba Inu,2026-03-15T17:40:06.055718,6e-06,6e-06,6e-06,6e-06,6e-06,,,462232770370.0,2713048.09,73262,6e-06,0.0,,37.0321,0.0,Unknown,Neutral
DOTUSDT,Polkadot,2026-03-15T17:40:06.055718,1.441,1.439,1.444,1.392,1.439,0.002,0.139,5719704.55,8117455.89,34940,1.419209,0.052,3.6136,232.3256,1.5354,High,Buy
BTCUSDT,Bitcoin,2026-03-15T17:45:07.107274,71589.88,70664.26,71940.49,70500.0,70664.26,925.62,1.31,11103.0192,791294901.41,1706423,71268.443746,1440.49,2.0385,463.7156,0.451,Medium,Buy
ETHUSDT,Ethereum,2026-03-15T17:45:07.107274,2110.13,2071.85,2123.44,2069.19,2071.85,38.28,1.848,127009.4124,266195744.99,1434593,2095.874156,54.25,2.6184,185.5549,0.6802,Medium,Buy
BNBUSDT,Binance Coin,2026-03-15T17:45:07.107274,660.16,652.91,666.55,651.85,652.91,7.25,1.11,57958.253,38151074.95,483426,658.250948,14.7,2.2515,78.9181,0.29,Medium,Buy
SOLUSDT,Solana,2026-03-15T17:45:07.107274,88.29,86.94,88.88,86.62,86.95,1.35,1.553,1325972.678,116456599.08,455086,87.827299,2.26,2.5995,255.9002,0.5268,Medium,Buy
XRPUSDT,XRP,2026-03-15T17:45:07.107274,1.4202,1.3887,1.4229,1.3871,1.3888,0.0315,2.268,55011041.6,77321310.25,295119,1.40556,0.0358,2.578,262.0004,1.0416,Medium,Strong Buy
DOGEUSDT,Dogecoin,2026-03-15T17:45:07.107274,0.09626,0.09478,0.09746,0.09436,0.09478,0.00148,1.562,599730153.0,57451481.52,396397,0.095796,0.0031,3.2707,144.9342,0.4844,High,Buy
ADAUSDT,Cardano,2026-03-15T17:45:07.107274,0.2656,0.2602,0.2673,0.2585,0.2601,0.0054,2.075,77081343.8,20242964.0,82530,0.262618,0.0088,3.382,245.2801,1.1355,High,Strong Buy
AVAXUSDT,Avalanche,2026-03-15T17:45:07.107274,9.85,9.55,9.88,9.54,9.56,0.3,3.141,947105.52,9188050.39,32825,9.70119,0.34,3.5602,279.9101,1.5339,High,Strong Buy
SHIBUSDT,Shiba Inu,2026-03-15T17:45:07.107274,6e-06,6e-06,6e-06,6e-06,6e-06,-0.0,-0.34,472606472952.0,2773838.65,73875,6e-06,0.0,,37.5477,0.0,Unknown,Sell
DOTUSDT,Polkadot,2026-03-15T17:45:07.107274,1.439,1.439,1.444,1.392,1.439,,,5716665.03,8113079.57,34957,1.419198,0.052,3.6136,232.0874,1.3953,High,Neutral
